username,password,email,full_name,department,role
admin,admin,admin@company.com,Administrator,IT,admin
root,root,root@company.com,Root User,System,admin
john.doe,Password123!,john.doe@company.com,John Doe,IT,developer
jane.smith,Welcome2024,jane.smith@company.com,Jane Smith,Finance,analyst
mike.wilson,SecurePass1,mike.wilson@company.com,Mike Wilson,HR,manager
sarah.jones,MyPassword123,sarah.jones@company.com,Sarah Jones,Marketing,coordinator
david.brown,Brown2024!,david.brown@company.com,David Brown,IT,admin
lisa.garcia,LisaPass123,lisa.garcia@company.com,Lisa Garcia,Sales,representative
robert.taylor,Robert123,robert.taylor@company.com,Robert Taylor,Operations,supervisor
amanda.white,Amanda2024,amanda.white@company.com,Amanda White,Finance,accountant
chris.lee,ChrisLee123,chris.lee@company.com,Chris Lee,IT,developer
jennifer.martin,Jen2024!,jennifer.martin@company.com,Jennifer Martin,HR,specialist
ftp,ftp123,ftp@company.com,FTP Service,Services,service
backup,backup2024,backup@company.com,Backup Service,Services,service
monitor,monitor123,monitor@company.com,Monitoring Service,Services,service
